,Unnamed: 0,Answer ID,Which of the following options do you identify with most?,Select the center where you study:,"The subjects you are currently taking, for the most part, correspond to which year?",How many days per week do you usually come to the university?,Please indicate the postal code from where you usually start your trip to the university:,"Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 1]","Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 2]","Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 3]",Do you take the same route for coming and going?,"Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 1]","Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 2]","Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 3]",Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the fastest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the cheapest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the most comfortable],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the only option],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It has a lower environmental impact],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the healthiest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [I need the private vehicle for other trips],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [Other],MitjaPersones
1066,1066,2176,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Second,5,8490.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1069,1069,2185,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,8850.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1072,1072,2188,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8760.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,"Coming by public transport takes me about 2 hours by train when by car I am in 20 min or 30,",2.0
1076,1076,2197,Man,Barcelona School of Informatics (FIB),Fourth,2,8800.0,Scooter (or other micro-mobility devices) with renewable charging,Renfe,Scooter (or other micro-mobility devices) with renewable charging,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,1.6666666666666667
1085,1085,2216,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Third,4,8014.0,Bus,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,1,0,0,DATATHON,1.6666666666666667
1087,1087,2219,Man,Barcelona School of Informatics (FIB),First,1,8205.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
1089,1089,2222,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8330.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1094,1094,2235,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Fourth,5,8950.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1097,1097,2239,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,DATATHON,Electric motorcycle,Electric motorcycle,Electric motorcycle,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1107,1107,2263,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Fourth,5,8360.0,Electric vehicle (with Zero label and renewable source charging),Renfe,Underground,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,1.3333333333333333
1110,1110,2267,Woman,Polytechnic School of Engineering of Manresa (EPSEM),Second,5,8251.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1118,1118,2285,Man,Polytechnic School of Engineering of Manresa (EPSEM),Third,5,25001.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1122,1122,2291,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8691.0,Combustion or electric motorcycle with non-renewable source charging,Renfe,FGC,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,Poor communication from Terrassa with the town where I live,1.3333333333333333
1124,1124,2294,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,1,8304.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1139,1139,2331,Man,Barcelona School of Informatics (FIB),Fourth,1,8025.0,Scooter (or other micro-mobility devices) with non-renewable charging,Underground,Scooter (or other micro-mobility devices) with non-renewable charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.6666666666666667
1144,1144,2344,Man,Barcelona School of Informatics (FIB),Third,4,8023.0,Underground,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",No,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,On foot,1,1,0,0,0,0,0,DATATHON,1.1666666666666667
1145,1145,2345,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,4,8025.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1149,1149,2353,Woman,School of Engineering of Barcelona East (EEBE),Third,4,8911.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1153,1153,2359,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,3,43005.0,Combustion or electric motorcycle with non-renewable source charging,Renfe,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,1,0,1,0,0,0,DATATHON,1.6666666666666667
1154,1154,2370,Man,School of Engineering of Barcelona East (EEBE),Fourth,4,8021.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1167,1167,2399,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,3,8757.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1168,1168,2406,Woman,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,2,17458.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1171,1171,2416,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,3,8015.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1172,1172,2419,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,5,8770.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,2.0
1176,1176,2425,Man,School of Engineering of Barcelona East (EEBE),Fourth,5,8031.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,No,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1177,1177,2434,Man,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,5,8014.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1182,1182,2453,Man,School of Engineering of Barcelona East (EEBE),First,3,8820.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1184,1184,2456,Man,Polytechnic School of Engineering of Manresa (EPSEM),Fourth,3,8250.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1185,1185,2460,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,3,8784.0,DATATHON,DATATHON,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1189,1189,2468,Woman,School of Architecture of Vallès (ETSAV),Fourth,4,8225.0,Scooter (or other micro-mobility devices) with non-renewable charging,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",FGC,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,0,0,0,DATATHON,1.6666666666666667
1196,1196,2478,Woman,Barcelona School of Informatics (FIB),Second,3,8036.0,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1200,1200,2485,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,2,8700.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,2.0
1206,1206,2496,NR/DK,Higher Technical School of Architecture of Barcelona (ETSAB),Fourth,4,8028.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,No,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,0,1,1,0,0,0,0,DATATHON,2.0
1212,1212,2508,Man,Faculty of Nautical of Barcelona (FNB),First,5,8011.0,Scooter (or other micro-mobility devices) with renewable charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1217,1217,2514,Man,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,1,17217.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
1229,1229,2547,Man,Higher Technical School of Architecture of Barcelona (ETSAB),Fourth,5,8629.0,Electric vehicle (with Zero label and renewable source charging),Electric vehicle (with Zero label and renewable source charging),Electric vehicle (with Zero label and renewable source charging),Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
1233,1233,2559,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,4,17003.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1238,1238,2573,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,4,8403.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1239,1239,2578,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,3,8912.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1249,1249,2599,Man,School of Engineering of Barcelona East (EEBE),Second,5,8770.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Tram,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,1,0,0,DATATHON,1.3333333333333333
1252,1252,2607,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,5,43005.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,2.0
1256,1256,2612,Woman,School of Engineering of Barcelona East (EEBE),First,5,8904.0,DATATHON,DATATHON,Scooter (or other micro-mobility devices) with renewable charging,Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,1,0,0,DATATHON,2.0
1266,1266,2634,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,4,8172.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1269,1269,2639,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,5,8105.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1271,1271,2641,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Second,3,8980.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,"If there was the possibility of attending virtual theory classes, I could make the trip some days. There are days when I go for 1 hour, with what that entails both economically and environmentally. I do not have the possibility of making the trips by public transport because it takes much longer and I do not arrive at work",2.0
1273,1273,2643,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,3,8329.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Underground,Yes,DATATHON,DATATHON,DATATHON,0,1,0,1,0,0,0,DATATHON,1.3333333333333333
1275,1275,2649,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8870.0,Combustion or electric motorcycle with non-renewable source charging,Renfe,Underground,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.3333333333333333
1285,1285,2671,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8206.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,No,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
1289,1289,2678,Man,Polytechnic University School of Building of Barcelona (EPSEB),Third,4,8029.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1297,1297,2688,Man,Polytechnic School of Engineering of Manresa (EPSEM),Third,5,8500.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,Public transport on this line is terrible and impossible for students,2.0
1298,1298,2689,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),First,4,8540.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,2.0
1304,1304,2700,Woman,School of Architecture of Vallès (ETSAV),Second,5,8304.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1305,1305,2702,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,3,8024.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1322,1322,2734,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,5,8015.0,DATATHON,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,0,0,1,DATATHON,2.0
1330,1330,2747,NR/DK,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",First,2,8025.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1342,1342,2765,Woman,Polytechnic University School of Building of Barcelona (EPSEB),First,2,8021.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,0,0,1,DATATHON,2.0
1346,1346,2776,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Second,5,8970.0,Combustion or electric motorcycle with non-renewable source charging,Bus,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.5
1357,1357,2796,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Second,2,43881.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1373,1373,2836,Woman,Polytechnic School of Engineering of Manresa (EPSEM),Second,4,8243.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1384,1384,2862,Man,Barcelona School of Informatics (FIB),First,1,8750.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1388,1388,2867,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8304.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,2.0
1395,1395,2881,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Third,5,8396.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1396,1396,2884,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,4,8106.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1398,1398,2888,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,5,8025.0,DATATHON,Combustion or electric motorcycle with non-renewable source charging,DATATHON,No,DATATHON,Bus,DATATHON,0,0,1,0,0,0,0,DATATHON,1.5
1403,1403,2894,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,5,8202.0,Electric vehicle (with Zero label and renewable source charging),Electric vehicle (with Zero label and renewable source charging),Electric vehicle (with Zero label and renewable source charging),Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1408,1408,2901,Man,Higher Technical School of Architecture of Barcelona (ETSAB),Third,5,8970.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1421,1421,2925,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8019.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",FGC,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,1.5
1425,1425,2930,Woman,Polytechnic University School of Building of Barcelona (EPSEB),First,4,8192.0,Underground,FGC,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",No,Underground,FGC,Combustion or electric motorcycle with non-renewable source charging,1,1,0,0,0,0,0,DATATHON,1.3333333333333333
1442,1442,2960,Man,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Third,5,8550.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1444,1444,2964,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,4,8912.0,Underground,Renfe,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,0,Because I can't enter Barcelona with my car because it's old. It turns out cheaper than the subway but I can't use this option,1.3333333333333333
